OBJECTID,CRECID,OS12FIG,EASTING,NORTHING,TRUNK_NON,POSSDUPLIC,DEERSPP,INCCOUNTRY,INCCOUNTY,INCMONTH,INCROADNO,INCYEAR,PEOPLEINJY,PERSTITLE,REALINCDAT,YEARSPAN,OID_T
10216,12824479.000000,268897664527,268897.000000,664527.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2011.000000,0.000000,,28/04/2011,,6802.00000000
3919,12827395.000000,269022664543,269022.000000,664543.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,12/08/2012,,3565.00000000
12319,12751357.000000,269001664558,269001.000000,664558.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2006.000000,0.000000,,21/09/2006,,8129.00000000
5997,12814225.000000,268853664559,268853.000000,664559.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2010.000000,0.000000,,22/08/2010,,4886.00000000
2661,12755465.000000,254262664567,254262.000000,664567.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2009.000000,0.000000,,09/04/2009,,166.00000000
5869,12825502.000000,265386664576,265386.000000,664576.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2011.000000,0.000000,,05/06/2011,,5666.00000000
10692,12664191.000000,268900664600,268900.000000,664600.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2005.000000,0.000000,,31/07/2005,,8511.00000000
4690,12824480.000000,268939664604,268939.000000,664604.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2011.000000,0.000000,,16/05/2011,,6263.00000000
2033,12749211.000000,253675664638,253675.000000,664638.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2008.000000,0.000000,,21/03/2008,,2280.00000000
9963,12827431.000000,269473664673,269473.000000,664673.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M73,2012.000000,0.000000,,25/11/2012,,6706.00000000
12601,12824476.000000,268714664757,268714.000000,664757.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2011.000000,0.000000,,01/05/2011,,6571.00000000
662,12805125.000000,269505664757,269505.000000,664757.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M73,2009.000000,0.000000,,04/07/2009,,408.00000000
2179,12751697.000000,268746664768,268746.000000,664768.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2008.000000,0.000000,,12/10/2008,,1559.00000000
405,12751642.000000,268711664788,268711.000000,664788.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2008.000000,0.000000,,11/06/2008,,1874.00000000
4398,12824475.000000,268702664802,268702.000000,664802.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2011.000000,0.000000,,07/09/2011,,4506.00000000
1483,12805206.000000,268656664837,268656.000000,664837.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2009.000000,0.000000,,02/06/2009,,616.00000000
2096,12805202.000000,268649664844,268649.000000,664844.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2009.000000,0.000000,,20/05/2009,,766.00000000
3175,12827360.000000,268681664848,268681.000000,664848.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,26/06/2012,,4193.00000000
1109,12805123.000000,269536664855,269536.000000,664855.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M73,2009.000000,0.000000,,12/06/2009,,550.00000000
5171,12827370.000000,268598664932,268598.000000,664932.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,16/07/2012,,3906.00000000
12411,12824471.000000,268536664987,268536.000000,664987.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2011.000000,0.000000,,08/05/2011,,6534.00000000
1704,12805205.000000,268504665015,268504.000000,665015.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2009.000000,0.000000,,27/05/2009,,682.00000000
6183,12827790.000000,269998665015,269998.000000,665015.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2012.000000,0.000000,,05/07/2012,,4159.00000000
9777,12827434.000000,268314665105,268314.000000,665105.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,02/12/2012,,6677.00000000
3828,12814440.000000,261620665133,261620.000000,665133.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2010.000000,0.000000,,05/08/2010,,5150.00000000
12029,12805223.000000,268016665194,268016.000000,665194.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2010.000000,0.000000,,27/04/2010,,7221.00000000
7551,12593825.000000,257600665200,257600.000000,665200.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2003.000000,0.000000,,16/05/2003,,12495.00000000
9610,12814268.000000,267849665240,267849.000000,665240.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2011.000000,0.000000,,17/02/2011,,7425.00000000
10787,12814137.000000,267469665355,267469.000000,665355.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2010.000000,0.000000,,15/05/2010,,6910.00000000
